# Author: eldar | Timeshtamp: 2021-06-01T15:47:24 | Plugin: rev.74-ef7de5f.. | OS: Linux-4.15.0-106-generic-x86_64-with-Ubuntu-18.04-bionic
'Наименование'                              'Кол-во' 'Примечание'                                                      'Примечание из ПЭ'
'Р1-8МП-0,25-301 кОм±1%-Ж-К-М'              '1'      'R41'                                                             ''
'Резисторы  ОЖ0.468.134ТУ'                  ''       ''                                                                ''
'СП3-19a2-0,5-1 кОм±10%'                    '1'      'R17'                                                             ''
'СП3-19a2-0,5-47 кОм±10%'                   '1'      'R33'                                                             ''
'Резонатор  ТУ6321-011-07604008-07'         ''       ''                                                                ''
'РК457-5ДС-16М'                             '1'      'ZQ1'                                                             ''
'Розетка  РЮМК.430420.011ТУ'                ''       ''                                                                ''
'СНП346-10РП21-2-В'                         '1'      'XS1'                                                             ''
'Стабилитроны  СМ3.362.025ТУ СМ3.362.083ГЧ' ''       ''                                                                ''
'Д818Е'                                     '1'      'VD4'                                                             ''
'Транзисторы  аАО.339.559ТУ'                ''       ''                                                                ''
'2Т664А9'                                   '1'      'VT2'                                                             ''
'2Т665А9'                                   '1'      'VT1'                                                             ''
